language,type,aliases_count,extensions_count,filenames_count
Cpp-ObjDump,data,1,5,0
CQL,programming,0,1,0
Creole,prose,0,1,0
Crystal,programming,0,1,0
CSON,data,0,1,0
Csound,programming,1,2,0
Csound Document,programming,1,1,0
Csound Score,programming,1,1,0
CSS,markup,0,1,0
CSV,data,0,1,0
Cuda,programming,0,2,0
CUE,programming,0,1,0
Cue Sheet,data,0,1,0
Curry,programming,0,1,0
CWeb,programming,0,1,0
Cycript,programming,0,1,0
Cypher,programming,0,2,0
Cython,programming,1,3,0
D,programming,1,2,0
D-ObjDump,data,0,1,0
D2,markup,1,1,0
Dafny,programming,0,1,0
Darcs Patch,data,1,2,0
Dart,programming,0,1,0
Daslang,programming,0,1,0
DataWeave,programming,0,1,0
Debian Package Control File,data,0,1,0
DenizenScript,programming,0,1,0
desktop,data,0,3,0
Dhall,programming,0,1,0
Diff,data,1,2,0
DIGITAL Command Language,programming,1,1,0
DirectX 3D File,data,0,1,0
DM,programming,1,1,0
DNS Zone,data,0,2,0
Dogescript,programming,0,1,0
DTrace,programming,1,1,0
Dylan,programming,0,4,0
E,programming,0,1,0
E-mail,data,4,2,0
Eagle,data,0,2,0
Easybuild,data,0,1,0
EBNF,data,0,1,0
eC,programming,0,2,0
Ecere Projects,data,0,1,0
ECL,programming,0,2,0
ECLiPSe,programming,0,1,0
Ecmarkup,markup,1,1,0
Edge,markup,0,1,0
EdgeQL,programming,1,2,0
Edje Data Collection,data,0,1,0
edn,data,0,1,0
Eiffel,programming,0,1,0
EJS,markup,0,4,0
Elm,programming,0,1,0
Elvish,programming,0,1,0
Elvish Transcript,programming,0,0,0
EmberScript,programming,0,2,0
EQ,programming,0,1,0
Euphoria,programming,0,2,0
F#,programming,1,3,0
F*,programming,1,2,0
Fantom,programming,0,1,0
Faust,programming,0,1,0
Fennel,programming,0,1,0
FIGlet Font,data,1,1,0
Filebench WML,programming,0,1,0
Filterscript,programming,0,1,0
FIRRTL,programming,0,1,0
fish,programming,0,1,0
FlatBuffers,data,0,1,0
Flix,programming,0,1,0
Fluent,programming,0,1,0
FLUX,programming,0,2,0
Formatted,data,0,2,0
Forth,programming,0,8,0
Fortran,programming,0,4,0
Fortran Free Form,programming,0,4,0
FreeBASIC,programming,1,2,0
FreeMarker,programming,1,2,0
Frege,programming,0,1,0
Futhark,programming,0,1,0
G-code,programming,0,4,0
Game Maker Language,programming,0,1,0
GAML,programming,0,1,0
GAMS,programming,0,1,0
GAP,programming,0,5,0
GCC Machine Description,programming,0,1,0
GDB,programming,0,2,0
GDScript,programming,0,1,0
GDShader,programming,0,2,0
GEDCOM,data,0,1,0
Gemini,prose,1,1,0
Genero 4gl,programming,0,1,0
Genero per,markup,0,1,0
Genie,programming,0,1,0
Genshi,programming,2,1,0
Gentoo Ebuild,programming,0,1,0
Gentoo Eclass,programming,0,1,0
Gerber Image,data,1,16,0
Gettext Catalog,prose,1,2,0
Gherkin,programming,1,2,0
Gleam,programming,0,1,0
Glimmer JS,programming,1,1,0
Glimmer TS,programming,1,1,0
GLSL,programming,0,23,0
Glyph,programming,0,1,0
Glyph Bitmap Distribution Format,data,0,1,0
Gnuplot,programming,0,6,0
Go,programming,1,1,0
Golo,programming,0,1,0
Gosu,programming,0,4,0
Grace,programming,0,1,0
Gradle,data,0,1,0
Gradle Kotlin DSL,data,0,1,0
Grammatical Framework,programming,1,1,0
Graph Modeling Language,data,0,1,0
GraphQL,data,0,3,0
Graphviz (DOT),data,0,2,0
Groovy Server Pages,programming,2,1,0
GSC,programming,0,3,0
Hack,programming,0,4,0
Haml,markup,0,2,0
Handlebars,markup,2,2,0
Harbour,programming,0,1,0
Hare,programming,0,1,0
Haskell,programming,0,3,0
Haxe,programming,0,2,0
HCL,programming,3,6,0
HIP,programming,0,1,0
HiveQL,programming,0,2,0
HLSL,programming,0,5,0
HolyC,programming,0,1,0
hoon,programming,0,1,0
HTML,markup,1,7,0
HTML+ECR,markup,1,1,0
HTML+EEX,markup,3,3,0
HTML+ERB,markup,3,3,0
HTML+PHP,markup,0,1,0
HTML+Razor,markup,1,2,0
HTTP,data,0,1,0
Hurl,programming,0,1,0
HXML,data,0,1,0
Hy,programming,1,1,0
HyPhy,programming,0,1,0
iCalendar,data,1,2,0
IDL,programming,0,2,0
Idris,programming,0,2,0
IGOR Pro,programming,2,1,0
ImageJ Macro,programming,1,1,0
Imba,programming,0,1,0
Inform 7,programming,2,2,0
Ink,programming,0,1,0
Inno Setup,programming,0,2,0
Io,programming,0,1,0
Ioke,programming,0,1,0
IRC log,data,2,2,0
Isabelle,programming,0,1,0
ISPC,programming,0,1,0
J,programming,0,1,0
Jac,programming,0,1,0
Jai,programming,0,1,0
Janet,programming,0,1,0
Jasmin,programming,0,1,0
Java,programming,0,3,0
Java Properties,data,0,1,0
Java Server Pages,programming,1,2,0
Java Template Engine,programming,1,1,0
JavaScript+ERB,programming,0,1,0
JCL,programming,0,1,0
Jest Snapshot,data,0,1,0
JetBrains MPS,programming,1,3,0
JFlex,programming,0,2,0
Jinja,markup,4,3,0
Jison,programming,0,1,0
Jison Lex,programming,0,1,0
Jolie,programming,0,2,0
jq,programming,0,1,0
JSON5,data,0,1,0
JSONiq,programming,0,1,0
JSONLD,data,0,1,0
Jsonnet,programming,0,2,0
Julia,programming,0,1,0
