language,aliases,filenames,extensions
LiveScript,live-script; ls,Slakefile,.ls; ._ls
LLVM,,,.ll
Logos,,,.xm; .x; .xi
Logtalk,,,.lgt; .logtalk
LOLCODE,,,.lol
LookML,,,.lkml; .lookml
LoomScript,,,.ls
LSL,,,.lsl; .lslp
Lua,,.luacheckrc,.lua; .fcgi; .nse; .p8; .pd_lua; .rbxs; .rockspec; .wlua
Luau,,,.luau
M,mumps,,.mumps; .m
M4,,,.m4; .mc
M4Sugar,autoconf,configure.ac,.m4
Macaulay2,m2,,.m2
Makefile,bsdmake; make; mf,BSDmakefile; GNUmakefile; Kbuild; Makefile; Makefile.am; Makefile.boot; Makefile.frag; Makefile.in; Makefile.inc; Makefile.wat; makefile; makefile.sco; mkfile,.mak; .d; .make; .makefile; .mk; .mkfile
Mako,,,.mako; .mao
Mathematical Programming System,,,.mps
MATLAB,octave,,.matlab; .m
Max,max/msp; maxmsp,,.maxpat; .maxhelp; .maxproj; .mxt; .pat
MAXScript,,,.ms; .mcr
mcfunction,,,.mcfunction
Mercury,,,.m; .moo
Meson,,meson.build; meson_options.txt,
Metal,,,.metal
MeTTa,,,.metta
MiniD,,,.minid
MiniZinc,,,.mzn
Mint,,,.mint
Mirah,,,.druby; .duby; .mirah
mIRC Script,,,.mrc
MLIR,,,.mlir
Modelica,,,.mo
Modula-2,,,.mod
Modula-3,,,.i3; .ig; .m3; .mg
Module Management System,,descrip.mmk; descrip.mms,.mms; .mmk
Mojo,,,.mojo
Monkey,,,.monkey; .monkey2
Monkey C,,,.mc
Moocode,,,.moo
MoonBit,,,.mbt
MoonScript,,,.moon
Motoko,,,.mo
Motorola 68K Assembly,m68k,,.asm; .i; .inc; .s; .x68
Move,,,.move
MQL4,,,.mq4; .mqh
MQL5,,,.mq5; .mqh
MUF,,,.muf; .m
mupad,,,.mu
Myghty,,,.myt
Nasal,,,.nas
NASL,,,.nasl; .inc
NCL,,,.ncl
Nearley,,,.ne; .nearley
Nemerle,,,.n
nesC,,,.nc
NetLinx,,,.axs; .axi
NetLinx+ERB,,,.axs.erb; .axi.erb
NetLogo,,,.nlogo
NewLisp,,,.nl; .lisp; .lsp
Nextflow,,nextflow.config,.nf
Nickel,,,.ncl
Nim,,nim.cfg,.nim; .nim.cfg; .nimble; .nimrod; .nims
Nit,,,.nit
Nix,nixos,,.nix
NMODL,,,.mod
Noir,nargo,,.nr
NSIS,,,.nsi; .nsh
Nu,nush,Nukefile,.nu
NumPy,,,.numpy; .numpyw; .numsc
Nushell,nu-script; nushell-script,,.nu
NWScript,,,.nss
Oberon,,,.ob2
Objective-C,obj-c; objc; objectivec,,.m; .h
Objective-C++,obj-c++; objc++; objectivec++,,.mm
Objective-J,obj-j; objectivej; objj,,.j; .sj
ObjectScript,,,.cls
OCaml,,,.ml; .eliom; .eliomi; .ml4; .mli; .mll; .mly
Odin,odinlang; odin-lang,,.odin
Omgrofl,,,.omgrofl
OMNeT++ MSG,omnetpp-msg,,.msg
OMNeT++ NED,omnetpp-ned,,.ned
ooc,,,.ooc
Opa,,,.opa
Opal,,,.opal
Open Policy Agent,,,.rego
OpenCL,,,.cl; .opencl
OpenEdge ABL,progress; openedge; abl,,.p; .cls; .w
OpenQASM,,,.qasm
OpenRC runscript,openrc,,
OpenSCAD,,,.scad
OverpassQL,,,.overpassql
Ox,,,.ox; .oxh; .oxo
Oxygene,,,.oxygene
Oz,,,.oz
P4,,,.p4
Pact,,,.pact
Pan,,,.pan
Papyrus,,,.psc
Parrot,,,.parrot
Parrot Assembly,pasm,,.pasm
Parrot Internal Representation,pir,,.pir
Pascal,delphi; objectpascal,,.pas; .dfm; .dpr; .inc; .lpr; .pascal; .pp
Pawn,,,.pwn; .inc; .sma
PDDL,,,.pddl
PEG.js,,,.pegjs; .peggy
Pep8,,,.pep
Perl,cperl,.latexmkrc; Makefile.PL; Rexfile; ack; cpanfile; latexmkrc,.pl; .al; .cgi; .fcgi; .perl; .ph; .plx; .pm; .psgi; .t
PHP,inc,.php; .php_cs; .php_cs.dist; Phakefile,.php; .aw; .ctp; .fcgi; .inc; .php3; .php4; .php5; .phps; .phpt
PicoLisp,,,.l
PigLatin,,,.pig
Pike,,,.pike; .pmod
Pkl,,,.pkl
PLpgSQL,,,.pgsql; .sql
PLSQL,,,.pls; .bdy; .ddl; .fnc; .pck; .pkb; .pks; .plb; .plsql; .prc; .spc; .sql; .tpb; .tps; .trg; .vw
PogoScript,,,.pogo
Polar,,,.polar
Pony,,,.pony
Portugol,,,.por
POV-Ray SDL,pov-ray; povray,,.pov; .inc
PowerBuilder,,,.pbt; .sra; .sru; .srw
PowerShell,posh; pwsh,,.ps1; .psd1; .psm1
Praat,,,.praat
Processing,,,.pde
Procfile,,Procfile,
Prolog,,,.pl; .plt; .pro; .prolog; .yap
Promela,,,.pml
Propeller Spin,,,.spin
Puppet,,Modulefile,.pp
PureBasic,,,.pb; .pbi
PureScript,,,.purs
Pyret,,,.arr
Python,py; py3; python3; rusthon,.gclient; DEPS; SConscript; SConstruct; wscript,.py; .cgi; .fcgi; .gyp; .gypi; .lmi; .py3; .pyde; .pyi; .pyp; .pyt; .pyw; .rpy; .spec; .tac; .wsgi; .xpy
Python console,pycon,,
q,,,.q
Q#,qsharp,,.qs
QMake,,,.pro; .pri
QML,,,.qml; .qbs
Qt Script,,installscript.qs; toolchain_installscript.qs,.qs
Quake,,m3makefile; m3overrides,
QuakeC,,,.qc
QuickBASIC,qb; qbasic; qb64; classic qbasic; classic quickbasic,,.bas; .bi
R,Rscript; splus,.Rprofile; expr-dist,.r; .rd; .rsx
Racket,,,.rkt; .rktd; .rktl; .scrbl
Ragel,ragel-rb; ragel-ruby,,.rl
Raku,perl6; perl-6,,.6pl; .6pm; .nqp; .p6; .p6l; .p6m; .pl; .pl6; .pm; .pm6; .raku; .rakumod; .t
Rascal,,,.rsc
RAScript,,,.rascript
REALbasic,,,.rbbas; .rbfrm; .rbmnu; .rbres; .rbtbar; .rbuistate
Reason,,,.re; .rei
ReasonLIGO,,,.religo
Rebol,,,.reb; .r; .r2; .r3; .rebol
Red,red/system,,.red; .reds
Redcode,,,.cw
Ren'Py,renpy,,.rpy
RenderScript,,,.rs; .rsh
ReScript,,,.res; .resi
REXX,arexx,,.rexx; .pprx; .rex
Rez,,,.r
Ring,,,.ring
RobotFramework,,,.robot; .resource
Roc,,,.roc
Rocq Prover,coq; rocq,,.v; .coq
Rouge,,,.rg
RouterOS Script,,,.rsc
RPC,rpcgen; oncrpc; xdr,,.x
RPGLE,ile rpg; sqlrpgle,,.rpgle; .sqlrpgle
Ruby,jruby; macruby; rake; rb; rbx,.irbrc; .pryrc; .simplecov; Appraisals; Berksfile; Brewfile; Buildfile; Capfile; Dangerfile; Deliverfile; Fastfile; Gemfile; Guardfile; Jarfile; Mavenfile; Podfile; Puppetfile; Rakefile; Snapfile; Steepfile; Thorfile; Vagrantfile; buildfile,.rb; .builder; .eye; .fcgi; .gemspec; .god; .jbuilder; .mspec; .pluginspec; .podspec; .prawn; .rabl; .rake; .rbi; .rbuild; .rbw; .rbx; .ru; .ruby; .spec; .thor; .watchr
Rust,rs,,.rs; .rs.in
Sage,,,.sage; .sagews
Sail,,,.sail
SaltStack,saltstate; salt,,.sls
SAS,,,.sas
Scala,,,.scala; .kojo; .sbt; .sc
Scenic,,,.scenic
Scheme,,,.scm; .sch; .sld; .sls; .sps; .ss
Scilab,,,.sci; .sce; .tst
sed,,,.sed
Self,,,.self
ShaderLab,,,.shader
Shell,sh; shell-script; bash; zsh; envrc,.bash_aliases; .bash_functions; .bash_history; .bash_logout; .bash_profile; .bashrc; .cshrc; .envrc; .flaskenv; .kshrc; .login; .profile; .tmux.conf; .xinitrc; .xsession; .zlogin; .zlogout; .zprofile; .zshenv; .zshrc; 9fs; PKGBUILD; bash_aliases; bash_logout; bash_profile; bashrc; cshrc; gradlew; kshrc; login; man; mvnw; profile; tmux.conf; xinitrc; xsession; zlogin; zlogout; zprofile; zshenv; zshrc,.sh; .bash; .bats; .cgi; .command; .fcgi; .ksh; .sbatch; .sh.in; .slurm; .tmux; .tool; .trigger; .zsh; .zsh-theme
ShellSession,bash session; console,,.sh-session
Shen,,,.shen
Sieve,,,.sieve
Singularity,,Singularity,
Slang,,,.slang
Slash,,,.sl
Slice,,,.ice
Smali,,,.smali
Smalltalk,squeak,,.st; .cs
Smarty,,,.tpl
Smithy,,,.smithy
SmPL,coccinelle,,.cocci
SMT,,,.smt2; .smt; .z3
Snakemake,snakefile,Snakefile,.smk; .snakefile
Solidity,,,.sol
SourcePawn,sourcemod,,.sp; .inc
SQF,,,.sqf; .hqf
SQLPL,,,.sql; .db2
Squirrel,,,.nut
Stan,,,.stan
Standard ML,sml,,.ml; .fun; .sig; .sml
Starlark,bazel; bzl,BUCK; BUILD; BUILD.bazel; MODULE.bazel; Tiltfile; WORKSPACE; WORKSPACE.bazel; WORKSPACE.bzlmod,.bzl; .star
Stata,,,.do; .ado; .doh; .ihlp; .mata; .matah; .sthlp
SuperCollider,,,.sc; .scd
SurrealQL,surql,,.surql
Sway,,,.sw
Swift,,,.swift
SWIG,,,.i; .swg; .swig
SystemVerilog,,,.sv; .svh; .vh
Tact,,,.tact
Talon,,,.talon
Tcl,sdc; xdc,owh; starfield,.tcl; .adp; .sdc; .tcl.in; .tm; .xdc
Tcsh,,,.tcsh; .csh
Teal,,,.tl
Terra,,,.t
Thrift,,,.thrift
TI Program,,,.8xp; .8xp.txt
TL-Verilog,,,.tlv
TLA,,,.tla
Toit,,,.toit
Tree-sitter Query,tsq,,.scm
TSQL,,,.sql
TSX,typescriptreact,,.tsx
Turing,,,.t; .tu
TXL,,,.txl
TypeScript,ts,,.ts; .cts; .mts
TypeSpec,tsp,,.tsp
Typst,typ,,.typ
Unified Parallel C,,,.upc
Unix Assembly,gas; gnu asm; unix asm,,.s; .ms
Uno,,,.uno
UnrealScript,,,.uc
Untyped Plutus Core,,,.uplc
UrWeb,Ur/Web; Ur,,.ur; .urs
V,vlang,,.v
Vala,,,.vala; .vapi
VBA,visual basic for applications,,.bas; .cls; .frm; .vba
VBScript,,,.vbs
VCL,,,.vcl
Verilog,,,.v; .veo
VHDL,,,.vhdl; .vhd; .vhf; .vhi; .vho; .vhs; .vht; .vhw
Vim Script,vim; viml; nvim; vimscript,.exrc; .gvimrc; .nvimrc; .vimrc; _vimrc; gvimrc; nvimrc; vimrc,.vim; .vba; .vimrc; .vmb
Visual Basic .NET,visual basic; vbnet; vb .net; vb.net,,.vb; .vbhtml
Visual Basic 6.0,vb6; vb 6; visual basic 6; visual basic classic; classic visual basic,,.bas; .cls; .ctl; .Dsr; .frm
Volt,,,.volt
Vyper,,,.vy
WDL,Workflow Description Language,,.wdl
WebAssembly,wast; wasm,,.wast; .wat
WebIDL,,,.webidl
WGSL,,,.wgsl
Whiley,,,.whiley
wisp,,,.wisp
Witcher Script,,,.ws
Wolfram Language,mathematica; mma; wolfram; wolfram lang; wl,,.mathematica; .cdf; .m; .ma; .mt; .nb; .nbp; .wl; .wls; .wlt
Wollok,,,.wlk
Wren,wrenlang,,.wren
X10,xten,,.x10
xBase,advpl; clipper; foxpro,,.prg; .ch; .prw
XC,,,.xc
Xmake,,xmake.lua,
Xojo,,,.xojo_code; .xojo_menu; .xojo_report; .xojo_script; .xojo_toolbar; .xojo_window
Xonsh,,,.xsh
XProc,,,.xpl; .xproc
XQuery,,,.xquery; .xq; .xql; .xqm; .xqy
XS,,,.xs
XSLT,xsl,,.xslt; .xsl
Xtend,,,.xtend
Yacc,,,.y; .yacc; .yy
YARA,,,.yar; .yara
Yul,,,.yul
ZAP,,,.zap; .xzap
Zeek,bro,,.zeek; .bro
ZenScript,,,.zs
Zephir,,,.zep
Zig,,,.zig; .zig.zon
ZIL,,,.zil; .mud
Zimpl,,,.zimpl; .zmpl; .zpl
