language,aliases,filenames,extensions
1C Enterprise,,,.bsl; .os
4D,,,.4dm
ABAP,,,.abap
ABAP CDS,,,.asddls
ActionScript,actionscript 3; actionscript3; as3,,.as
Ada,ada95; ada2005,,.adb; .ada; .ads
Agda,,,.agda
AGS Script,ags,,.asc; .ash
AIDL,,,.aidl
Aiken,,,.ak
AL,,,.al
ALGOL,,,.alg
Alloy,,,.als
Alpine Abuild,abuild; apkbuild,APKBUILD,
AMPL,,,.ampl; .mod
AngelScript,,,.as; .angelscript
Answer Set Programming,,,.lp
ANTLR,,,.g4
Apex,,,.cls; .apex; .trigger
APL,,,.apl; .dyalog
Apollo Guidance Computer,,,.agc
AppleScript,apples; osascript,,.applescript; .scpt
Arc,,,.arc
ASL,,,.asl; .dsl
ASP.NET,aspx; aspx-vb,,.asax; .ascx; .ashx; .asmx; .aspx; .axd
AspectJ,,,.aj
Assembly,asm; nasm,,.asm; .a51; .i; .inc; .nas; .nasm; .s
Asymptote,,,.asy
ATS,ats2,,.dats; .hats; .sats
Augeas,,,.aug
AutoHotkey,ahk,,.ahk; .ahkl
AutoIt,au3; AutoIt3; AutoItScript,,.au3
Awk,,,.awk; .auk; .gawk; .mawk; .nawk
B (Formal Method),,,.mch
B4X,basic for android,,.bas
Ballerina,,,.bal
BASIC,,,.bas
Batchfile,bat; batch; dosbatch; winbatch,gradlew.bat; mvnw.cmd,.bat; .cmd
Beef,,,.bf
Befunge,,,.befunge; .bf
Berry,be,,.be
BibTeX Style,,,.bst
Bicep,,,.bicep; .bicepparam
Bison,,,.bison
BitBake,,,.bb; .bbappend; .bbclass; .inc
BlitzBasic,b3d; blitz3d; blitzplus; bplus,,.bb; .decls
BlitzMax,bmax,,.bmx
Bluespec,bluespec bsv; bsv,,.bsv
Bluespec BH,bh; bluespec classic,,.bs
Boo,,,.boo
Boogie,,,.bpl
BQN,,,.bqn
Brainfuck,,,.b; .bf
BrighterScript,,,.bs
Brightscript,,,.brs
C,,,.c; .cats; .h; .h.in; .idc
C#,csharp; cake; cakescript,,.cs; .cake; .cs.pp; .csx; .linq
C++,cpp,,.cpp; .c++; .cc; .cp; .cppm; .cxx; .h; .h++; .hh; .hpp; .hxx; .inc; .inl; .ino; .ipp; .ixx; .re; .tcc; .tpp; .txx
C2hs Haskell,c2hs,,.chs
C3,,,.c3
Cadence,,,.cdc
Cairo,,,.cairo
Cairo Zero,,,.cairo
CameLIGO,,,.mligo
Cangjie,,,.cj
CAP CDS,cds,,.cds
Cap'n Proto,,,.capnp
Carbon,,,.carbon
CartoCSS,Carto,,.mss
Ceylon,,,.ceylon
Chapel,chpl,,.chpl
Charity,,,.ch
ChucK,,,.ck
Circom,,,.circom
Cirru,,,.cirru
Clarion,,,.clw
Clarity,,,.clar
Classic ASP,asp,,.asp
Clean,,,.icl; .dcl
Click,,,.click
CLIPS,,,.clp
Clojure,,riemann.config,.clj; .bb; .boot; .cl2; .cljc; .cljs; .cljs.hl; .cljscm; .cljx; .hic
Clue,,,.clue
CMake,,CMakeLists.txt,.cmake; .cmake.in
COBOL,,,.cob; .cbl; .ccp; .cobol; .cpy
CodeQL,ql,,.ql; .qll
CoffeeScript,coffee; coffee-script,Cakefile,.coffee; ._coffee; .cake; .cjsx; .iced
ColdFusion,cfm; cfml; coldfusion html,,.cfm; .cfml
ColdFusion CFC,cfc,,.cfc
Common Lisp,lisp,,.lisp; .asd; .cl; .l; .lsp; .ny; .podsl; .sexp
Common Workflow Language,cwl,,.cwl
Component Pascal,,,.cp; .cps
Cool,,,.cl
CQL,,,.cql
Crystal,,,.cr
Csound,csound-orc,,.orc; .udo
Csound Document,csound-csd,,.csd
Csound Score,csound-sco,,.sco
Cuda,,,.cu; .cuh
CUE,,,.cue
Curry,,,.curry
CWeb,,,.w
Cycript,,,.cy
Cypher,,,.cyp; .cypher
Cython,pyrex,,.pyx; .pxd; .pxi
D,Dlang,,.d; .di
Dafny,,,.dfy
Dart,,,.dart
Daslang,,,.das
DataWeave,,,.dwl
DenizenScript,,,.dsc
Dhall,,,.dhall
DIGITAL Command Language,dcl,,.com
DM,byond,,.dm
Dockerfile,Containerfile,Containerfile; Dockerfile,.dockerfile; .containerfile
Dogescript,,,.djs
DTrace,dtrace-script,,.d
Dune,,dune-project,
Dylan,,,.dylan; .dyl; .intr; .lid
E,,,.e
Earthly,Earthfile,Earthfile,
eC,,,.ec; .eh
ECL,,,.ecl; .eclxml
ECLiPSe,,,.ecl
EdgeQL,esdl,,.edgeql; .esdl
Eiffel,,,.e
Elixir,,mix.lock,.ex; .exs
Elm,,,.elm
Elvish,,,.elv
Elvish Transcript,,,
Emacs Lisp,cask; eask; elisp; emacs,.abbrev_defs; .emacs; .emacs.desktop; .gnus; .spacemacs; .viper; Cask; Eask; Project.ede; _emacs; abbrev_defs,.el; .emacs; .emacs.desktop
EmberScript,,,.em; .emberscript
EQ,,,.eq
Erlang,,Emakefile; rebar.config; rebar.config.lock; rebar.lock,.erl; .app; .app.src; .es; .escript; .hrl; .xrl; .yrl
Euphoria,,,.e; .ex
F#,fsharp,,.fs; .fsi; .fsx
F*,fstar,,.fst; .fsti
Factor,,.factor-boot-rc; .factor-rc,.factor
Fancy,,Fakefile,.fy; .fancypack
Fantom,,,.fan
Faust,,,.dsp
Fennel,,,.fnl
Filebench WML,,,.f
Filterscript,,,.fs
FIRRTL,,,.fir
fish,,,.fish
Flix,,,.flix
Fluent,,,.ftl
FLUX,,,.fx; .flux
Forth,,,.fth; .4th; .f; .for; .forth; .fr; .frt; .fs
Fortran,,,.f; .f77; .for; .fpp
Fortran Free Form,,,.f90; .f03; .f08; .f95
FreeBASIC,fb,,.bi; .bas
FreeMarker,ftl,,.ftl; .ftlh
Frege,,,.fr
Futhark,,,.fut
G-code,,,.g; .cnc; .gco; .gcode
Game Maker Language,,,.gml
GAML,,,.gaml
GAMS,,,.gms
GAP,,,.g; .gap; .gd; .gi; .tst
GCC Machine Description,,,.md
GDB,,,.gdb; .gdbinit
GDScript,,,.gd
GDShader,,,.gdshader; .gdshaderinc
Genero 4gl,,,.4gl
Genie,,,.gs
Genshi,xml+genshi; xml+kid,,.kid
Gentoo Ebuild,,,.ebuild
Gentoo Eclass,,,.eclass
Gherkin,cucumber,,.feature; .story
Gleam,,,.gleam
Glimmer JS,gjs,,.gjs
Glimmer TS,gts,,.gts
GLSL,,,.glsl; .fp; .frag; .frg; .fs; .fsh; .fshader; .geo; .geom; .glslf; .glslv; .gs; .gshader; .rchit; .rmiss; .shader; .tesc; .tese; .vert; .vrx; .vs; .vsh; .vshader
Glyph,,,.glf
Gnuplot,,,.gp; .gnu; .gnuplot; .p; .plot; .plt
Go,golang,,.go
Golo,,,.golo
Gosu,,,.gs; .gst; .gsx; .vark
Grace,,,.grace
Grammatical Framework,gf,,.gf
Groovy,,Jenkinsfile,.groovy; .grt; .gtpl; .gvy
Groovy Server Pages,gsp; java server page,,.gsp
GSC,,,.gsc; .csc; .gsh
Hack,,,.hack; .hh; .hhi; .php
Harbour,,,.hb
Hare,,,.ha
Haskell,,,.hs; .hs-boot; .hsc
Haxe,,,.hx; .hxsl
HCL,HashiCorp Configuration Language; opentofu; terraform,,.hcl; .nomad; .tf; .tfvars; .tofu; .workflow
HIP,,,.hip
HiveQL,,,.q; .hql
HLSL,,,.hlsl; .cginc; .fx; .fxh; .hlsli
HolyC,,,.hc
hoon,,,.hoon
Hurl,,,.hurl
Hy,hylang,,.hy
HyPhy,,,.bf
IDL,,,.pro; .dlm
Idris,,,.idr; .lidr
IGOR Pro,igor; igorpro,,.ipf
ImageJ Macro,ijm,,.ijm
Imba,,,.imba
Inform 7,i7; inform7,,.ni; .i7x
Ink,,,.ink
Inno Setup,,,.iss; .isl
Io,,,.io
Ioke,,,.ik
Isabelle,,,.thy
Isabelle ROOT,,ROOT,
ISPC,,,.ispc
J,,,.ijs
Jac,,,.jac
Jai,,,.jai
Janet,,,.janet
Jasmin,,,.j
Java,,,.java; .jav; .jsh
Java Server Pages,jsp,,.jsp; .tag
Java Template Engine,jte,,.jte
JavaScript,js; node,Jakefile,.js; ._js; .bones; .cjs; .es; .es6; .frag; .gs; .jake; .javascript; .jsb; .jscad; .jsfl; .jslib; .jsm; .jspre; .jss; .jsx; .mjs; .njs; .pac; .sjs; .ssjs; .xsjs; .xsjslib
JavaScript+ERB,,,.js.erb
JCL,,,.jcl
JetBrains MPS,mps,,.mps; .mpl; .msd
JFlex,,,.flex; .jflex
Jison,,,.jison
Jison Lex,,,.jisonlex
Jolie,,,.ol; .iol
jq,,,.jq
JSONiq,,,.jq
Jsonnet,,,.jsonnet; .libsonnet
Julia,,,.jl
Julia REPL,,,
Just,Justfile,.JUSTFILE; .Justfile; .justfile; JUSTFILE; Justfile; justfile,.just
Kaitai Struct,ksy,,.ksy
KakouneScript,kak; kakscript,kakrc,.kak
KCL,,kcl.mod; kcl.mod.lock,.k
KerboScript,,,.ks
KFramework,,,.k
Koka,,,.kk
KoLmafia ASH,,,.ash
Kotlin,,,.kt; .ktm; .kts
KRL,,,.krl
LabVIEW,,,.lvproj; .lvclass; .lvlib
Lambdapi,,,.lp
Langium,,,.langium
Lasso,lassoscript,,.lasso; .las; .lasso8; .lasso9
Lean,,,.lean; .hlean
Lean 4,lean4,,.lean
Leo,,,.leo
Lex,flex,Lexer.x; lexer.x,.l; .lex
LFE,,,.lfe
LigoLANG,,,.ligo
LilyPond,,,.ly; .ily
Limbo,,,.b; .m
Linear Programming,,,.lp
Linker Script,,ld.script,.ld; .lds; .x
Liquidsoap,,,.liq
Literate Agda,,,.lagda
Literate CoffeeScript,litcoffee,,.litcoffee; .coffee.md
Literate Haskell,lhaskell; lhs,,.lhs
LiveCode Script,,,.livecodescript
