language,type,extensions_count,aliases_count,filenames_count
APL,programming,2,0,0
ASL,programming,2,0,0
ASN.1,data,2,0,0
B4X,programming,1,1,0
Befunge,programming,2,0,0
Berry,programming,1,1,0
BibTeX,markup,2,0,0
Bicep,programming,2,0,0
Blade,markup,2,0,0
BlitzMax,programming,1,1,0
Brainfuck,programming,2,0,0
C2hs Haskell,programming,1,1,0
Cabal Config,data,1,1,2
Caddyfile,data,1,1,1
CAP CDS,programming,1,1,0
CartoCSS,programming,1,1,0
Chapel,programming,1,1,0
Classic ASP,programming,1,1,0
Clean,programming,2,0,0
Closure Templates,markup,1,1,0
CMake,programming,2,0,1
ColdFusion CFC,programming,1,1,0
Common Workflow Language,programming,1,1,0
Component Pascal,programming,2,0,0
crontab,data,0,2,1
Csound Document,programming,1,1,0
Csound Score,programming,1,1,0
Cuda,programming,2,0,0
Cypher,programming,2,0,0
D2,markup,1,1,0
DIGITAL Command Language,programming,1,1,0
DM,programming,1,1,0
DNS Zone,data,2,0,0
DTrace,programming,1,1,0
Eagle,data,2,0,0
eC,programming,2,0,0
ECL,programming,2,0,0
Ecmarkup,markup,1,1,0
EditorConfig,data,1,1,1
Elixir,programming,2,0,1
EmberScript,programming,2,0,0
Euphoria,programming,2,0,0
Fancy,programming,2,0,1
FIGlet Font,data,1,1,0
FLUX,programming,2,0,0
Formatted,data,2,0,0
GDB,programming,2,0,0
GDShader,programming,2,0,0
Gemini,prose,1,1,0
Glimmer JS,programming,1,1,0
Glimmer TS,programming,1,1,0
GN,data,2,0,1
Go,programming,1,1,0
Go Module,data,0,2,1
Go Workspace,data,0,2,1
Grammatical Framework,programming,1,1,0
Graphviz (DOT),data,2,0,0
Haml,markup,2,0,0
Haxe,programming,2,0,0
HiveQL,programming,2,0,0
HTML+ECR,markup,1,1,0
Hy,programming,1,1,0
IDL,programming,2,0,0
Idris,programming,2,0,0
ImageJ Macro,programming,1,1,0
Inno Setup,programming,2,0,0
Java Template Engine,programming,1,1,0
JFlex,programming,2,0,0
Jolie,programming,2,0,0
Jsonnet,programming,2,0,0
Jupyter Notebook,markup,1,1,1
Just,programming,1,1,6
Kaitai Struct,programming,1,1,0
Kusto,data,2,0,0
Lean,programming,2,0,0
Lean 4,programming,1,1,0
Less,markup,1,1,0
LilyPond,programming,2,0,0
Limbo,programming,2,0,0
Logtalk,programming,2,0,0
LookML,programming,2,0,0
LSL,programming,2,0,0
M4,programming,2,0,0
M4Sugar,programming,1,1,1
Macaulay2,programming,1,1,0
Mako,programming,2,0,0
Marko,markup,1,1,0
