language,type,aliases,extensions,filenames
Edje Data Collection,data,,.edc,
edn,data,,.edn,
Eiffel,programming,,.e,
EJS,markup,,.ejs; .ect; .ejs.t; .jst,
Elixir,programming,,.ex; .exs,mix.lock
Elm,programming,,.elm,
Elvish,programming,,.elv,
Elvish Transcript,programming,,,
Emacs Lisp,programming,cask; eask; elisp; emacs,.el; .emacs; .emacs.desktop,.abbrev_defs; .emacs; .emacs.desktop; .gnus; .spacemacs; .viper; Cask; Eask; Project.ede; _emacs; abbrev_defs
EmberScript,programming,,.em; .emberscript,
EQ,programming,,.eq,
Erlang,programming,,.erl; .app; .app.src; .es; .escript; .hrl; .xrl; .yrl,Emakefile; rebar.config; rebar.config.lock; rebar.lock
Euphoria,programming,,.e; .ex,
F#,programming,fsharp,.fs; .fsi; .fsx,
F*,programming,fstar,.fst; .fsti,
Factor,programming,,.factor,.factor-boot-rc; .factor-rc
Fancy,programming,,.fy; .fancypack,Fakefile
Fantom,programming,,.fan,
Faust,programming,,.dsp,
Fennel,programming,,.fnl,
FIGlet Font,data,FIGfont,.flf,
Filebench WML,programming,,.f,
Filterscript,programming,,.fs,
FIRRTL,programming,,.fir,
fish,programming,,.fish,
FlatBuffers,data,,.fbs,
Flix,programming,,.flix,
Fluent,programming,,.ftl,
FLUX,programming,,.fx; .flux,
Formatted,data,,.for; .eam.fs,
Forth,programming,,.fth; .4th; .f; .for; .forth; .fr; .frt; .fs,
Fortran,programming,,.f; .f77; .for; .fpp,
Fortran Free Form,programming,,.f90; .f03; .f08; .f95,
FreeBASIC,programming,fb,.bi; .bas,
FreeMarker,programming,ftl,.ftl; .ftlh,
Frege,programming,,.fr,
Futhark,programming,,.fut,
G-code,programming,,.g; .cnc; .gco; .gcode,
Game Maker Language,programming,,.gml,
GAML,programming,,.gaml,
GAMS,programming,,.gms,
GAP,programming,,.g; .gap; .gd; .gi; .tst,
GCC Machine Description,programming,,.md,
GDB,programming,,.gdb; .gdbinit,
GDScript,programming,,.gd,
GDShader,programming,,.gdshader; .gdshaderinc,
GEDCOM,data,,.ged,
Gemfile.lock,data,,,Gemfile.lock
Gemini,prose,gemtext,.gmi,
Genero 4gl,programming,,.4gl,
Genero per,markup,,.per,
Genie,programming,,.gs,
Genshi,programming,xml+genshi; xml+kid,.kid,
Gentoo Ebuild,programming,,.ebuild,
Gentoo Eclass,programming,,.eclass,
Gerber Image,data,rs-274x,.gbr; .cmp; .gbl; .gbo; .gbp; .gbs; .gko; .gml; .gpb; .gpt; .gtl; .gto; .gtp; .gts; .ncl; .sol,
Gettext Catalog,prose,pot,.po; .pot,
Gherkin,programming,cucumber,.feature; .story,
Git Attributes,data,gitattributes,,.gitattributes
Git Commit,data,commit,,COMMIT_EDITMSG
Git Config,data,gitconfig; gitmodules,.gitconfig,.gitconfig; .gitmodules
Git Revision List,data,Git Blame Ignore Revs,,.git-blame-ignore-revs
Gleam,programming,,.gleam,
Glimmer JS,programming,gjs,.gjs,
